id,first_name,last_name,customer,bank_card,card_type
1,Farly,Iori,Compugen Ltd.,5100175873503211,mastercard
2,Janka,Mendoza,ProShares UltraShort Nasdaq Biotechnology,3571946772816333,jcb
3,Murvyn,Dowyer,Flushing Financial Corporation,201739202375408,diners-club-enroute
4,Prudi,Domini,Tenet Healthcare Corporation,3548153419606033,jcb
5,Reggis,Gaddie,"ImmunoGen, Inc.",3545363665103055,jcb
6,Creight,Connolly,Monotype Imaging Holdings Inc.,5002350199692688,mastercard
7,Brandice,Westoff,Nuveen Preferred Income Opportunites Fund,5602217782691522,bankcard
8,Drusi,Steffans,"EV Energy Partners, L.P.",374288350494042,americanexpress
9,Orelia,Fuggle,Chicago Bridge & Iron Company N.V.,5.89349925560364E+018,maestro
10,Berny,Sleigh,Strattec Security Corporation,3529031425924983,jcb
11,Decca,Rubinovitch,Bank of America Corporation,3573359184474063,jcb
12,Arman,Musso,ENI S.p.A.,3557460280235448,jcb
13,Adriano,Claris,"Sierra Wireless, Inc.",3545810637645274,jcb
14,Danni,Hitscher,MicroStrategy Incorporated,6.33479405319002E+018,solo
15,Trudi,Karpinski,Cognex Corporation,3557254471025670,jcb
16,Tallie,Sturgeon,Comcast Corporation,3553234197385438,jcb
17,Kippie,Ridulfo,B.O.S. Better Online Solutions,3550225852650523,jcb
18,Thayne,Prazor,"Entergy New Orleans, Inc.",5.03861017589084E+017,maestro
19,Jareb,Walkling,American Homes 4 Rent,30433583594285,diners-club-carte-blanche
20,Dalston,Dikels,Service Corporation International,3528904796509545,jcb
21,Marietta,Schiementz,"Group 1 Automotive, Inc.",5.61013825254035E+018,china-unionpay
22,Pavlov,Tuddall,ENSCO plc,4041594738072,visa
23,Francisco,Drinkel,"Highwoods Properties, Inc.",3549129340399731,jcb
24,Erika,Maymond,"Syros Pharmaceuticals, Inc.",5.0387915080774E+018,maestro
25,Garry,Schruurs,"NantKwest, Inc.",3547628485010930,jcb
26,Henrik,Ashelford,"ING Group, N.V.",6389024029318639,instapayment
27,Yul,Redihalgh,Ingevity Corporation,3548208885705634,jcb
28,Mame,Galloway,Mesoblast Limited,337941165271403,americanexpress
29,Chariot,Holborn,Cerecor Inc.,5.89351332970177E+016,maestro
30,Pandora,Gelletly,CTI BioPharma Corp.,4405813848973573,visa-electron
31,Wini,Lissandri,AllianzGI Convertible & Income Fund II,3585850861641392,jcb
32,Kathye,Wye,"Landcadia Holdings, Inc.",4175004246557139,visa-electron
33,Marylee,Jowsey,SLM Corporation,5100179278738786,mastercard
34,Nanci,O'Dooghaine,Sears Holdings Corporation,4175003687792114,visa-electron
35,Fawne,Trendle,"AutoZone, Inc.",6762916451342820,maestro
36,Arlen,Barnson,"America Movil, S.A.B. de C.V.",5550987351040374,mastercard
37,Clarabelle,Marrows,AC Immune SA,201734162970660,diners-club-enroute
38,Gerty,Dincey,"World Wrestling Entertainment, Inc.",36125275793696,diners-club-international
39,Bartlet,Bartrop,"The Herzfeld Caribbean Basin Fund, Inc.",3551357587712671,jcb
40,Johannah,Odam,KKR & Co. L.P.,5002353761793389,mastercard
41,Aloisia,Toone,Swift Transportation Company,6399410313610658,instapayment
42,Rahal,Tuke,Atomera Incorporated,6.7675547170096E+018,solo
43,Catina,Callis,"Crossroads Systems, Inc.",5100145816401989,mastercard
44,Florance,Gallamore,TCF Financial Corporation,201557873698845,diners-club-enroute
